X1_pfam_counts.txt	X2_pfam_counts.txt	X3_pfam_counts.txt	X4_pfam_counts.txt	X5_pfam_counts.txt	X6_pfam_counts.txt	pfamdesc	molecular_function	biological_process	cellular_component
PF00351	95	80	32	75	68	104	Biopterin-dependent aromatic amino acid hydroxylase	GO:0016714	GO:0055114	NA
PF16327	95	48	83	77	97	142	Cytochrome c-type biogenesis protein CcmF C-terminal	NA	NA	NA
PF01148	95	68	105	64	87	199	Cytidylyltransferase family	NA	NA	NA
PF03692	95	80	88	64	99	162	Putative zinc- or iron-chelating domain	NA	NA	NA
PF00038	95	81	38	59	1287	241	Intermediate filament protein	GO:0005198	NA	GO:0005882
PF02470	95	77	133	80	89	193	MlaD protein	NA	NA	NA
PF01743	95	53	111	73	96	176	Poly A polymerase head domain	GO:0003723,GO:0016779	GO:0006396	NA
PF10584	95	48	42	48	43	63	Proteasome subunit A N-terminal signature	GO:0004175	GO:0006511	GO:0019773
PF06298	95	26	60	74	61	43	Photosystem II protein Y (PsbY)	GO:0030145	GO:0015979	GO:0009523,GO:0016021
PF01872	95	52	93	59	83	219	RibD C-terminal domain	GO:0008703	GO:0009231,GO:0055114	NA
PF01564	95	101	115	86	128	223	Spermine/spermidine synthase	NA	NA	NA
PF04255	94	55	74	69	83	80	Protein of unknown function (DUF433)	NA	NA	NA
PF01695	94	97	118	81	103	353	IstB-like ATP binding protein	GO:0005524	NA	NA
PF02502	94	70	93	69	100	136	Ribose/Galactose Isomerase	GO:0016853	GO:0005975	NA
PF02384	94	91	125	72	84	314	N-6 DNA Methylase	GO:0003677,GO:0008170	GO:0006306	NA
PF08471	94	52	103	37	73	48	Class II vitamin B12-dependent ribonucleotide reductase	GO:0004748,GO:0050897	GO:0055114	NA
PF05742	94	35	62	34	57	84	Transport and Golgi organisation 2	NA	NA	NA
PF02739	93	57	74	45	68	170	5'-3' exonuclease, N-terminal resolvase-like domain	GO:0003677	NA	NA
PF13692	93	73	95	64	78	194	Glycosyl transferases group 1	NA	NA	NA
PF03553	93	106	78	76	102	397	Na+/H+ antiporter family	NA	NA	GO:0016021
PF01909	93	88	101	93	98	190	Nucleotidyltransferase domain	GO:0016779	NA	NA
PF01399	93	117	81	94	146	146	PCI domain	GO:0005515	NA	NA
PF10502	93	47	82	45	56	89	Signal peptidase, peptidase S26	NA	NA	NA
PF07556	92	103	98	94	96	238	Protein of unknown function (DUF1538)	NA	NA	NA
PF13932	92	46	71	42	61	136	GidA associated domain	NA	NA	NA
PF13379	92	65	100	63	58	131	NMT1-like family	NA	NA	NA
PF00413	92	91	83	104	80	144	Matrixin	GO:0004222,GO:0008270	GO:0006508	GO:0031012
PF02887	92	72	58	51	90	126	Pyruvate kinase, alpha/beta domain	NA	NA	NA
PF01159	92	88	76	90	209	109	Ribosomal protein L6e	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF02889	92	82	46	63	90	86	Sec63 Brl domain	NA	NA	NA
PF09335	92	94	102	73	80	219	SNARE associated Golgi protein	NA	NA	NA
PF04972	91	133	101	89	102	110	BON domain	NA	NA	NA
PF00134	91	109	62	88	86	127	Cyclin, N-terminal domain	NA	NA	NA
PF12762	91	73	67	50	53	191	ISXO2-like transposase domain	NA	NA	NA
PF11376	91	42	118	59	41	118	Protein of unknown function (DUF3179)	NA	NA	NA
PF03069	91	67	99	81	67	113	Acetamidase/Formamidase family	GO:0016811	NA	NA
PF16197	91	57	92	73	69	175	Ketoacyl-synthetase C-terminal extension	NA	NA	NA
PF02545	91	85	128	66	76	204	Maf-like protein	NA	NA	GO:0005737
PF01050	91	40	83	35	60	136	Mannose-6-phosphate isomerase	GO:0016779	GO:0005976	NA
PF02630	91	78	114	66	95	184	SCO1/SenC	NA	NA	NA
PF00309	91	54	87	40	47	66	Sigma-54 factor, Activator interacting domain (AID)	GO:0003677,GO:0003700,GO:0003899,GO:0016987	GO:0006352,GO:0006355	NA
PF01975	91	48	107	62	63	137	Survival protein SurE	GO:0016787	NA	NA
PF02424	90	89	122	93	136	329	ApbE family	NA	GO:0017013	NA
PF13610	90	83	98	56	71	256	DDE domain	NA	NA	NA
PF01916	90	47	78	51	58	116	Deoxyhypusine synthase	NA	GO:0008612	NA
PF00771	90	102	109	66	89	308	FHIPEP family	NA	GO:0009306	GO:0016020
PF01628	90	47	58	42	42	85	HrcA protein C terminal domain	GO:0003677	GO:0006355	NA
PF00249	90	79	53	77	74	92	Myb-like DNA-binding domain	NA	NA	NA
PF01849	90	107	78	91	194	122	NAC domain	NA	NA	NA
PF00956	90	170	43	54	111	155	Nucleosome assembly protein (NAP)	NA	GO:0006334	GO:0005634
PF02129	90	81	127	74	92	212	X-Pro dipeptidyl-peptidase (S15 family)	GO:0016787	NA	NA
PF06325	90	159	90	95	129	377	Ribosomal protein L11 methyltransferase (PrmA)	NA	NA	NA
PF00079	90	102	69	70	87	148	Serpin (serine protease inhibitor)	NA	NA	NA
PF06071	90	59	63	36	68	86	Protein of unknown function (DUF933)	NA	NA	NA
PF04773	89	46	85	45	65	96	FecR protein	NA	NA	NA
PF00479	89	58	81	60	67	110	Glucose-6-phosphate dehydrogenase, NAD binding domain	GO:0004345,GO:0050661	GO:0006006,GO:0055114	NA
PF00704	89	124	71	76	280	141	Glycosyl hydrolases family 18	GO:0004553	GO:0005975	NA
PF01532	89	123	58	77	91	121	Glycosyl hydrolase family 47	GO:0004571,GO:0005509	NA	GO:0016020
PF01725	89	53	115	69	72	181	Ham1 family	GO:0016787	NA	NA
PF12836	89	61	104	71	88	160	Helix-hairpin-helix motif	NA	NA	NA
PF07627	89	52	102	66	79	141	Protein of unknown function (DUF1588)	NA	NA	NA
PF13905	89	77	76	55	82	123	Thioredoxin-like	NA	NA	NA
PF01177	88	68	131	75	95	255	Asp/Glu/Hydantoin racemase	GO:0036361	GO:0006807	NA
PF08662	88	93	76	66	115	114	Eukaryotic translation initiation factor eIF2A	NA	NA	NA
PF02602	88	40	61	42	74	127	Uroporphyrinogen-III synthase HemD	GO:0004852	GO:0033014	NA
PF08540	88	27	64	44	54	34	Hydroxymethylglutaryl-coenzyme A synthase C terminal	GO:0004421	GO:0008299	NA
PF03571	88	68	60	58	77	147	Peptidase family M49	NA	NA	NA
PF01247	88	87	81	93	192	109	Ribosomal protein L35Ae	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF16653	88	78	81	58	85	143	Saccharopine dehydrogenase C-terminal domain	NA	NA	NA
PF06468	88	39	100	34	63	74	Spondin_N	NA	NA	NA
PF02091	88	59	81	52	76	166	Glycyl-tRNA synthetase alpha subunit	GO:0000166,GO:0004820,GO:0005524	GO:0006426	GO:0005737
PF01396	88	27	83	34	43	67	Topoisomerase DNA binding C4 zinc finger	GO:0003677,GO:0003916	GO:0006265	GO:0005694
PF09822	87	36	67	26	44	76	ABC-type uncharacterized transport system	NA	NA	NA
PF11741	87	47	99	63	80	85	AMIN domain	NA	NA	NA
PF07642	87	46	97	62	92	56	Putative beta-barrel porin-2, OmpL-like. bbp2	NA	NA	NA
PF11638	87	30	39	35	43	49	DnaA N-terminal domain	NA	NA	NA
PF05201	87	44	83	72	64	129	Glutamyl-tRNAGlu reductase, N-terminal domain	GO:0008883,GO:0050661	GO:0033014,GO:0055114	NA
PF07479	87	52	91	64	73	177	NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus	GO:0004367	GO:0005975,GO:0055114	NA
PF02678	87	67	95	49	60	123	Pirin	NA	NA	NA
PF00697	87	67	84	49	81	166	N-(5'phosphoribosyl)anthranilate (PRA) isomerase	GO:0004640	GO:0006568	NA
PF06026	87	43	75	50	47	91	Ribose 5-phosphate isomerase A (phosphoriboisomerase A)	GO:0004751	GO:0009052	NA
PF14681	87	53	67	59	61	142	Uracil phosphoribosyltransferase	NA	NA	NA
PF05173	86	49	60	32	60	122	Dihydrodipicolinate reductase, C-terminus	GO:0008839	GO:0009089,GO:0055114	NA
PF01132	86	40	95	47	74	102	Elongation factor P (EF-P) OB domain	GO:0003746	GO:0006414	NA
PF02662	86	121	65	100	120	226	Methyl-viologen-reducing hydrogenase, delta subunit	NA	GO:0015948,GO:0055114	NA
PF00288	86	59	92	46	89	183	GHMP kinases N terminal domain	GO:0005524	NA	NA
PF00958	86	66	83	41	74	140	GMP synthase C terminal domain	GO:0003922,GO:0005524	GO:0006164,GO:0006177	NA
PF04209	86	109	75	88	140	204	homogentisate 1,2-dioxygenase	GO:0004411	GO:0006559,GO:0006570,GO:0055114	NA
PF01503	86	50	57	45	56	110	Phosphoribosyl-ATP pyrophosphohydrolase	NA	NA	NA
PF03136	86	43	77	49	52	103	Pup-ligase protein	NA	GO:0010498,GO:0019941	NA
PF14259	86	109	41	66	94	73	RNA recognition motif (a.k.a. RRM, RBD, or RNP domain)	NA	NA	NA
PF00398	86	59	79	59	81	201	Ribosomal RNA adenine dimethylase	NA	NA	NA
PF01807	86	40	92	50	68	123	CHC2 zinc finger	GO:0003677,GO:0003896,GO:0008270	GO:0006260	NA
PF13087	85	112	76	80	114	158	AAA domain	NA	NA	NA
PF04127	85	65	90	65	74	199	DNA / pantothenate metabolism flavoprotein	NA	NA	NA
PF06537	85	53	87	67	70	104	Di-haem oxidoreductase, putative peroxidase	NA	NA	NA
PF05598	85	72	78	61	88	254	Transposase domain (DUF772)	NA	NA	NA
PF07729	85	69	99	41	52	154	FCD domain	NA	NA	NA
PF00629	85	85	71	30	64	61	MAM domain, meprin/A5/mu	NA	NA	GO:0016020
PF01447	85	48	95	38	46	47	Thermolysin metallopeptidase, catalytic domain	GO:0004222	NA	NA
PF01246	85	84	57	59	97	64	Ribosomal protein L24e	NA	NA	NA
PF01351	85	48	79	55	58	172	Ribonuclease HII	NA	NA	NA
PF08334	85	57	114	62	91	114	Type II secretion system (T2SS), protein G	NA	NA	NA
PF00001	84	96	35	67	113	140	7 transmembrane receptor (rhodopsin family)	GO:0004930	GO:0007186	GO:0016021
PF13086	84	114	48	63	92	108	AAA domain	NA	NA	NA
PF02633	84	84	102	62	93	180	Creatinine amidohydrolase	NA	NA	NA
PF04079	84	57	92	48	70	106	Putative transcriptional regulators (Ypuh-like)	NA	GO:0051304	NA
PF12947	84	54	37	41	79	30	EGF domain	NA	NA	NA
PF04101	84	60	99	60	72	166	Glycosyltransferase family 28 C-terminal domain	GO:0016758	NA	NA
PF05973	84	43	64	57	55	93	Phage derived protein Gp49-like (DUF891)	NA	NA	NA
PF00050	84	56	63	62	209	69	Kazal-type serine protease inhibitor domain	GO:0005515	NA	NA
PF07282	84	55	70	56	40	64	Putative transposase DNA-binding domain	NA	NA	NA
PF07631	84	49	92	54	63	131	Protein of unknown function (DUF1592)	NA	NA	NA
PF00806	84	120	75	86	119	105	Pumilio-family RNA binding repeat	GO:0003723	NA	NA
PF01199	84	76	59	103	103	74	Ribosomal protein L34e	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF01112	83	57	100	50	62	175	Asparaginase	GO:0016787	NA	NA
PF01923	83	52	107	62	59	157	Cobalamin adenosyltransferase	NA	NA	NA
PF04015	83	98	92	62	81	142	Domain of unknown function (DUF362)	NA	NA	NA
PF03319	83	55	89	41	65	66	Ethanolamine utilisation protein EutN/carboxysome	NA	NA	NA
PF00800	83	55	83	40	58	149	Prephenate dehydratase	GO:0004664	GO:0009094	NA
PF07722	83	52	95	57	56	106	Peptidase C26	GO:0016787	GO:0006541	NA
PF03742	83	28	57	66	45	47	PetN	GO:0045158	GO:0017004	GO:0009512
PF16205	83	85	74	83	128	78	Ribosomal_S17 N-terminal	NA	NA	NA
PF12741	83	33	51	33	63	69	Susd and RagB outer membrane lipoprotein	NA	NA	NA
PF00654	83	87	88	62	86	208	Voltage gated chloride channel	GO:0005247	GO:0006821,GO:0055085	GO:0016020
PF13710	82	32	76	29	67	58	ACT domain	NA	NA	NA
PF02991	82	60	45	60	65	85	Autophagy protein Atg8 ubiquitin like	NA	NA	NA
PF04077	82	74	52	34	87	96	DsrH like protein	NA	GO:0002143	GO:0005737
PF06884	82	24	27	4	51	33	Protein of unknown function (DUF1264)	NA	NA	NA
PF04461	82	44	67	40	60	94	Protein of unknown function (DUF520)	NA	NA	NA
PF13412	82	61	89	56	59	138	Winged helix-turn-helix DNA-binding	NA	NA	NA
PF02613	82	77	64	86	90	109	Nitrate reductase delta subunit	NA	NA	NA
PF01059	82	36	73	41	47	77	NADH-ubiquinone oxidoreductase chain 4, amino terminus	NA	GO:0006120,GO:0055114	NA
PF01431	82	52	58	41	99	168	Peptidase family M13	GO:0004222	GO:0006508	NA
PF01401	82	62	65	65	74	110	Angiotensin-converting enzyme	GO:0008237,GO:0008241	GO:0006508	GO:0016020
PF05954	82	52	78	56	60	96	Phage late control gene D protein (GPD)	NA	NA	NA
PF14374	82	63	45	51	106	62	60S ribosomal protein L4 C-terminal domain	NA	NA	NA
PF03431	82	62	77	103	121	120	RNA replicase, beta-chain	GO:0003968	GO:0019079	NA
PF03055	82	80	88	72	94	153	Retinal pigment epithelial membrane protein	NA	NA	NA
PF04052	82	65	96	41	63	162	TolB amino-terminal domain	NA	GO:0015031	GO:0042597
PF10996	81	55	60	39	66	117	Beta-Casp domain	NA	NA	NA
PF06491	81	36	89	44	76	45	Disulphide isomerase	NA	NA	NA
PF11821	81	26	87	57	84	84	Protein of unknown function (DUF3341)	NA	NA	NA
PF04379	81	47	75	43	66	79	Protein of unknown function (DUF525)	NA	NA	NA
PF00728	81	92	70	74	137	281	Glycosyl hydrolase family 20, catalytic domain	GO:0004553	GO:0005975	NA
PF13167	81	34	74	45	60	105	GTP-binding GTPase N-terminal	NA	NA	NA
PF13487	81	76	107	75	83	172	HD domain	NA	NA	NA
PF00057	81	391	36	99	326	205	Low-density lipoprotein receptor domain class A	GO:0005515	NA	NA
PF01661	81	91	83	132	106	191	Macro domain	NA	NA	NA
PF04248	81	41	100	56	53	97	Nucleotidyltransferase	NA	NA	NA
PF00301	81	34	82	52	48	112	Rubredoxin	GO:0005506	NA	NA
PF09360	81	50	111	69	91	121	Iron-binding zinc finger CDGSH type	GO:0051537	NA	GO:0043231
PF13465	81	160	70	145	264	108	Zinc-finger double domain	GO:0046872	NA	NA
PF02872	80	43	86	46	79	200	5'-nucleotidase, C-terminal domain	GO:0016787	GO:0009166	NA
PF10369	80	34	80	30	59	65	Small subunit of acetolactate synthase	NA	NA	NA
PF02807	80	113	40	53	157	81	ATP:guanido phosphotransferase, N-terminal domain	GO:0016301,GO:0016772	NA	NA
PF01544	80	46	65	54	46	109	CorA-like Mg2+ transporter protein	GO:0046873	GO:0030001,GO:0055085	GO:0016020
PF02628	80	54	94	64	76	145	Cytochrome oxidase assembly protein	GO:0016627	GO:0006784,GO:0055114	GO:0016021
PF05746	80	44	60	37	45	118	DALR anticodon binding domain	GO:0004814,GO:0005524	GO:0006420	NA
PF01346	80	43	61	32	52	51	Domain amino terminal to FKBP-type peptidyl-prolyl isomerase	NA	GO:0006457	NA
PF02364	80	30	34	23	32	18	1,3-beta-glucan synthase component	GO:0003843	GO:0006075	GO:0000148,GO:0016020
PF16360	80	46	59	34	42	114	GTP-binding GTPase Middle Region	NA	NA	NA
PF01764	80	73	54	45	96	115	Lipase (class 3)	NA	GO:0006629	NA
PF05969	80	14	70	84	45	18	Photosystem II complex subunit Ycf12	NA	GO:0015979	GO:0009523,GO:0016021
PF00620	80	105	49	51	107	106	RhoGAP domain	NA	GO:0007165	NA
PF00825	80	31	61	40	46	97	Ribonuclease P	GO:0000049,GO:0004526	GO:0008033	NA
PF02223	80	54	90	56	72	131	Thymidylate kinase	NA	NA	NA
PF01938	80	62	93	63	64	118	TRAM domain	NA	NA	NA
PF01297	80	50	119	42	67	150	Zinc-uptake complex component A periplasmic	GO:0046872	GO:0030001	NA
PF16561	79	48	48	43	43	90	Glycogen recognition site of AMP-activated protein kinase	NA	NA	NA
PF07452	78	39	100	48	82	57	CHRD domain	NA	NA	NA
PF05872	78	38	65	34	61	86	Bacterial protein of unknown function (DUF853)	NA	NA	NA
PF00931	78	78	88	72	84	173	NB-ARC domain	GO:0043531	NA	NA
PF00658	78	108	60	67	76	142	Poly-adenylate binding protein, unique domain	GO:0003723	NA	NA
PF01780	78	69	62	84	71	77	Ribosomal L37ae protein family	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF00018	78	100	33	69	117	95	SH3 domain	GO:0005515	NA	NA
PF01202	78	64	90	65	73	180	Shikimate kinase	NA	NA	NA
PF07719	78	57	55	58	53	80	Tetratricopeptide repeat	NA	NA	NA
PF04451	77	28	111	86	70	26	Large eukaryotic DNA virus major capsid protein	GO:0005198	NA	GO:0019028
PF00755	77	103	35	69	113	162	Choline/Carnitine o-acyltransferase	GO:0016746	NA	NA
PF06574	77	42	57	24	54	109	FAD synthetase	GO:0003919	GO:0009231	NA
PF03928	77	55	94	98	95	122	Haem-degrading	NA	NA	NA
PF12844	77	57	87	64	79	127	Helix-turn-helix domain	GO:0043565	NA	NA
PF06415	77	45	78	49	53	201	BPG-independent PGAM N-terminus (iPGM_N)	GO:0004619,GO:0030145	GO:0006007	GO:0005737
PF11956	77	59	58	40	54	85	Ankyrin-G binding motif of KCNQ2-3	GO:0005267	NA	GO:0016020
PF01875	77	101	79	94	98	166	Memo-like protein	NA	NA	NA
PF01210	77	68	84	67	102	174	NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus	GO:0016616,GO:0051287	GO:0046168,GO:0055114	NA
PF05016	77	51	66	48	54	123	ParE toxin of type II toxin-antitoxin system, parDE	NA	NA	NA
PF00381	77	42	53	41	63	87	PTS HPr component phosphorylation site	NA	NA	NA
PF13806	77	21	48	41	32	23	Rieske-like [2Fe-2S] domain	GO:0008942	GO:0042128,GO:0055114	NA
PF03853	77	70	68	61	76	162	YjeF-related protein N-terminus	NA	NA	NA
PF01490	76	74	45	80	74	97	Transmembrane amino acid transporter protein	NA	NA	NA
PF02261	76	40	70	35	45	64	Aspartate decarboxylase	GO:0004068	GO:0006523	NA
PF03100	76	47	50	50	61	87	CcmE	NA	GO:0017003,GO:0017004	GO:0005886
PF13701	76	84	79	67	62	241	Transposase DDE domain group 1	NA	NA	NA
PF01880	76	48	77	41	48	111	Desulfoferrodoxin	GO:0005506,GO:0016491	GO:0055114	NA
PF02589	76	56	61	54	56	138	Uncharacterised ACR, YkgG family COG1556	NA	NA	NA
PF09397	76	40	79	51	55	77	Ftsk gamma domain	NA	NA	NA
PF00723	76	82	61	81	71	184	Glycosyl hydrolases family 15	NA	NA	NA
PF01074	76	56	48	45	66	107	Glycosyl hydrolases family 38 N-terminal domain	GO:0004559	GO:0005975	NA
PF07879	76	39	71	49	55	65	PHB/PHA accumulation regulator DNA-binding domain	NA	NA	NA
PF02010	76	98	90	63	79	139	REJ domain	NA	NA	NA
PF04607	76	49	82	56	53	148	Region found in RelA / SpoT proteins	NA	GO:0015969	NA
PF03931	76	73	46	60	74	74	Skp1 family, tetramerisation domain	NA	GO:0006511	NA
PF12680	76	56	73	62	71	97	SnoaL-like domain	NA	NA	NA
PF02706	76	33	51	28	49	76	Chain length determinant protein	NA	GO:0009103	GO:0016020
PF14588	76	42	66	58	70	111	YjgF/chorismate_mutase-like, putative endoribonuclease	NA	NA	NA
PF13508	75	50	66	44	66	162	Acetyltransferase (GNAT) domain	GO:0008080	NA	NA
PF01412	75	63	59	62	61	84	Putative GTPase activating protein for Arf	GO:0005096	NA	NA
PF11700	75	51	63	51	62	191	Vacuole effluxer Atg22 like	NA	NA	NA
PF04463	75	25	54	25	43	87	Protein of unknown function (DUF523)	NA	NA	NA
PF13394	75	43	76	41	43	86	4Fe-4S single cluster domain	NA	NA	NA
PF01924	75	106	69	118	95	200	Hydrogenase formation hypA family	GO:0046872	NA	NA
PF14748	75	62	62	33	47	104	Pyrroline-5-carboxylate reductase dimerisation	NA	NA	NA
PF04166	75	60	63	53	71	178	Pyridoxal phosphate biosynthetic protein PdxA	GO:0050570,GO:0051287	GO:0008615,GO:0055114	NA
PF02541	75	69	104	46	69	208	Ppx/GppA phosphatase family	NA	NA	NA
PF08275	75	46	63	28	42	97	DNA primase catalytic core, N-terminal domain	NA	NA	NA
PF03171	74	61	81	53	65	116	2OG-Fe(II) oxygenase superfamily	GO:0016491	GO:0055114	NA
PF00218	74	46	75	48	46	157	Indole-3-glycerol phosphate synthase	GO:0004425	NA	NA
PF02033	74	36	71	28	54	97	Ribosome-binding factor A	NA	GO:0006364	NA
PF05140	74	36	53	47	50	71	ResB-like family	NA	NA	NA
PF00565	74	67	40	42	100	103	Staphylococcal nuclease homologue	NA	NA	NA
PF13676	74	71	85	61	72	147	TIR domain	GO:0005515	GO:0007165	NA
PF03133	74	111	25	74	72	103	Tubulin-tyrosine ligase family	NA	GO:0006464	NA
PF06434	73	35	57	37	45	62	Aconitate hydratase 2 N-terminus	GO:0003994	GO:0006099	NA
PF13354	73	58	62	47	50	95	Beta-lactamase enzyme family	NA	NA	NA
PF13621	73	54	53	66	60	87	Cupin-like domain	NA	NA	NA
PF11015	73	19	62	28	48	38	Protein of unknown function (DUF2853)	NA	NA	NA
PF02817	73	68	69	44	63	109	e3 binding domain	GO:0016746	GO:0008152	NA
PF07432	73	27	65	36	59	24	Histone H1-like protein Hc1	GO:0003677	NA	NA
PF01729	73	59	80	46	59	168	Quinolinate phosphoribosyl transferase, C-terminal domain	GO:0004514	GO:0009435	NA
PF01249	73	63	65	97	100	66	Ribosomal protein S21e	GO:0003735	GO:0006412	GO:0005622,GO:0005840
PF00710	72	73	99	65	72	130	Asparaginase	NA	GO:0006520	NA
PF01813	72	56	69	46	59	147	ATP synthase subunit D	GO:0042626	NA	NA
PF02673	72	40	57	38	55	158	Bacitracin resistance protein BacA	GO:0050380	GO:0016311	GO:0016020
PF04734	72	54	52	57	40	92	Neutral/alkaline non-lysosomal ceramidase, N-terminal	NA	NA	NA
PF01113	72	54	64	35	41	120	Dihydrodipicolinate reductase, N-terminus	GO:0008839	GO:0009089,GO:0055114	NA
PF14347	72	49	57	68	56	67	Domain of unknown function (DUF4399)	NA	NA	NA
PF01501	72	101	24	47	52	96	Glycosyl transferase family 8	GO:0016757	NA	NA
PF03453	72	72	87	68	63	166	MoeA N-terminal region (domain I and II)	NA	GO:0032324	NA
PF13366	72	57	81	55	59	189	PD-(D/E)XK nuclease superfamily	NA	NA	NA
PF00566	72	119	52	93	92	143	Rab-GTPase-TBC domain	NA	NA	NA
PF08071	72	55	48	41	103	53	RS4NT (NUC023) domain	NA	NA	NA
PF00642	72	66	48	47	64	55	Zinc finger C-x8-C-x5-C-x3-H type (and similar)	GO:0046872	NA	NA
PF16121	71	78	48	53	82	74	40S ribosomal protein S4 C-terminus	NA	NA	NA
PF13372	71	116	51	100	113	156	Alginate export	NA	NA	NA
PF03773	71	74	90	72	53	161	Predicted permease	NA	NA	NA
PF16903	71	12	84	48	50	27	Major capsid protein N-terminus	NA	NA	NA
PF12288	71	45	27	15	56	46	Carboxysome shell peptide mid-region	NA	NA	NA
PF09861	71	29	53	39	54	80	Domain of unknown function (DUF2088)	NA	NA	NA
PF10092	71	41	58	56	37	55	Uncharacterized protein conserved in bacteria (DUF2330)	NA	NA	NA
PF12006	71	36	66	27	39	54	Protein of unknown function (DUF3500)	NA	NA	NA
PF01269	71	56	39	54	102	84	Fibrillarin	GO:0003723,GO:0008168	GO:0006364,GO:0008033	NA
PF01156	71	54	72	47	58	122	Inosine-uridine preferring nucleoside hydrolase	NA	NA	NA
PF08309	71	78	65	64	62	86	LVIVD repeat	NA	NA	NA
PF05175	71	55	68	49	73	179	Methyltransferase small domain	GO:0008168	NA	NA
PF03259	71	83	100	57	85	98	Roadblock/LC7 domain	NA	NA	NA
PF07660	71	66	91	61	63	60	Secretin and TonB N terminus short domain	NA	NA	GO:0019867
PF14849	71	38	39	21	38	87	YidC periplasmic domain	NA	NA	NA
PF12679	70	53	77	59	61	174	ABC-2 family transporter protein	NA	NA	NA
PF02517	70	56	52	34	55	133	CAAX protease self-immunity	NA	NA	GO:0016020
PF04547	70	106	37	65	82	103	Calcium-activated chloride channel	NA	NA	NA
PF05935	70	39	61	31	45	85	Arylsulfotransferase (ASST)	NA	NA	NA
PF13862	70	39	48	67	129	125	p21-C-terminal region-binding protein	NA	NA	NA
PF03405	70	38	30	46	30	40	Fatty acid desaturase	GO:0045300	GO:0006631,GO:0055114	NA
PF02561	70	39	59	41	63	77	Flagellar protein FliS	NA	NA	GO:0009288
PF05192	70	55	78	57	53	188	MutS domain III	GO:0005524,GO:0030983	GO:0006298	NA
PF01566	70	49	79	39	61	148	Natural resistance-associated macrophage protein	GO:0005215	GO:0006810	GO:0016020
PF00621	70	84	40	64	94	81	RhoGEF domain	GO:0005089	GO:0035023	NA
PF14622	70	46	60	40	44	122	Ribonuclease-III-like	GO:0003723,GO:0004525	GO:0006396	NA
PF02075	70	45	67	50	54	109	Crossover junction endodeoxyribonuclease RuvC	GO:0004520	GO:0006281,GO:0006310	NA
PF00096	70	142	70	116	266	84	Zinc finger, C2H2 type	GO:0046872	NA	NA
PF13476	69	60	56	37	42	115	AAA domain	NA	NA	NA
PF13654	69	135	61	122	97	195	AAA domain	NA	NA	NA
PF00325	69	93	78	124	75	106	Bacterial regulatory proteins, crp family	GO:0003677	GO:0006355	NA
PF03264	69	173	51	120	109	197	NapC/NirT cytochrome c family, N-terminal region	NA	NA	NA
PF06980	69	122	61	129	103	162	Protein of unknown function (DUF1302)	NA	NA	NA
PF03193	69	47	60	31	56	148	Protein of unknown function, DUF258	GO:0003924,GO:0005525	NA	NA
PF11845	69	54	57	50	41	100	Protein of unknown function (DUF3365)	NA	NA	NA
PF00373	69	86	27	68	137	103	FERM central domain	NA	NA	NA
PF05149	69	82	84	82	85	83	Paraflagellar rod protein	GO:0005516	NA	GO:0031514
PF02837	69	42	63	52	60	199	Glycosyl hydrolases family 2, sugar binding domain	GO:0004553	GO:0005975	NA
PF13505	69	32	75	55	123	63	Outer membrane protein beta-barrel domain	NA	NA	NA
PF05577	69	80	57	49	60	98	Serine carboxypeptidase S28	GO:0008236	GO:0006508	NA
PF03575	69	32	67	43	50	111	Peptidase family S51	GO:0008236	GO:0006508	NA
PF01502	69	48	58	48	53	91	Phosphoribosyl-AMP cyclohydrolase	GO:0004635	GO:0000105	NA
PF01833	69	67	103	66	102	72	IPT/TIG domain	GO:0005515	NA	NA
PF02230	68	53	91	60	75	117	Phospholipase/Carboxylesterase	GO:0016787	NA	NA
PF02138	68	74	38	41	70	68	Beige/BEACH domain	NA	NA	NA
PF00150	68	90	65	48	62	119	Cellulase (glycosyl hydrolase family 5)	GO:0004553	GO:0005975	NA
PF00684	68	48	41	28	35	65	DnaJ central domain	GO:0031072,GO:0051082	NA	NA
PF04041	68	55	77	50	67	162	Domain of unknown function (DUF377)	NA	NA	NA
PF01687	68	43	48	35	42	125	Riboflavin kinase	GO:0008531	GO:0009231	NA
PF02686	68	30	63	32	45	46	Glu-tRNAGln amidotransferase C subunit	NA	GO:0006450	NA
PF05494	68	65	75	54	55	80	MlaC protein	NA	NA	NA
PF01478	68	42	99	56	69	143	Type IV leader peptidase family	GO:0004190	NA	GO:0016020
PF05649	68	46	46	32	53	91	Peptidase family M13	NA	GO:0006508	NA
PF01472	68	50	52	38	48	88	PUA domain	GO:0003723	NA	NA
PF02621	68	36	73	40	53	79	Menaquinone biosynthesis	NA	NA	NA
PF03007	68	85	59	81	80	166	Wax ester synthase-like Acyl-CoA acyltransferase domain	GO:0004144	GO:0045017	NA
PF02467	68	11	31	23	35	41	Transcription factor WhiB	NA	NA	NA
PF03590	67	129	42	198	126	226	Aspartate-ammonia ligase	GO:0004071	GO:0006529	GO:0005737
PF11492	67	48	77	59	51	41	Cricket paralysis virus, VP4	NA	NA	NA
