pfamacc	goterm	obsolete	consider	replaced	alt_id	go.name	go.namespace
2680	PF01678	GO:0008837					diaminopimelate epimerase activity	molecular_function
2681	PF01678	GO:0009089					lysine biosynthetic process via diaminopimelate	biological_process
2682	PF01679	GO:0016021					integral component of membrane	cellular_component
2683	PF01680	GO:0042819					vitamin B6 biosynthetic process	biological_process
2684	PF01680	GO:0042823					pyridoxal phosphate biosynthetic process	biological_process
2686	PF01687	GO:0008531					riboflavin kinase activity	molecular_function
2687	PF01687	GO:0009231					riboflavin biosynthetic process	biological_process
2693	PF01694	GO:0004252					serine-type endopeptidase activity	molecular_function
2694	PF01694	GO:0016021					integral component of membrane	cellular_component
2695	PF01695	GO:0005524					ATP binding	molecular_function
2696	PF01698	GO:0003677					DNA binding	molecular_function
2697	PF01698	GO:0006355				GO:0032583;GO:0045449;GO:0061019;	regulation of transcription, DNA-templated	biological_process
2698	PF01699	GO:0055085					transmembrane transport	biological_process
2699	PF01699	GO:0016021					integral component of membrane	cellular_component
2701	PF01701	GO:0015979					photosynthesis	biological_process
2702	PF01701	GO:0009522					photosystem I	cellular_component
2703	PF01702	GO:0008479					queuine tRNA-ribosyltransferase activity	molecular_function
2704	PF01702	GO:0006400				GO:0016549;	tRNA modification	biological_process
2705	PF01702	GO:0008616					queuosine biosynthetic process	biological_process
2706	PF01704	GO:0070569					uridylyltransferase activity	molecular_function
2707	PF01704	GO:0008152					metabolic process	biological_process
2710	PF01715	GO:0008033					tRNA processing	biological_process
2711	PF01716	GO:0005509					calcium ion binding	molecular_function
2712	PF01716	GO:0015979					photosynthesis	biological_process
2713	PF01716	GO:0042549					photosystem II stabilization	biological_process
2714	PF01716	GO:0009523					photosystem II	cellular_component
2715	PF01716	GO:0009654					photosystem II oxygen evolving complex	cellular_component
2716	PF01716	GO:0019898				GO:0030396;	extrinsic component of membrane	cellular_component
2717	PF01717	GO:0003871					5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	molecular_function
2718	PF01717	GO:0008270					zinc ion binding	molecular_function
2719	PF01717	GO:0009086					methionine biosynthetic process	biological_process
2730	PF01725	GO:0016787					hydrolase activity	molecular_function
2731	PF01726	GO:0004252					serine-type endopeptidase activity	molecular_function
2732	PF01726	GO:0006508					proteolysis	biological_process
2733	PF01728	GO:0008168				GO:0004480;	methyltransferase activity	molecular_function
2734	PF01728	GO:0032259					methylation	biological_process
2735	PF01729	GO:0004514					nicotinate-nucleotide diphosphorylase (carboxylating) activity	molecular_function
2736	PF01729	GO:0009435				GO:0006736;	NAD biosynthetic process	biological_process
2737	PF01730	GO:0016151					nickel cation binding	molecular_function
2738	PF01730	GO:0006807					nitrogen compound metabolic process	biological_process
2739	PF01731	GO:0004064					arylesterase activity	molecular_function
2740	PF01733	GO:0005337					nucleoside transmembrane transporter activity	molecular_function
2741	PF01733	GO:0006810				GO:0015457;GO:0015460;	transport	biological_process
2742	PF01733	GO:0016021					integral component of membrane	cellular_component
2743	PF01734	GO:0006629					lipid metabolic process	biological_process
2744	PF01735	GO:0004620					phospholipase activity	molecular_function
2745	PF01735	GO:0009395					phospholipid catabolic process	biological_process
2747	PF01737	GO:0015979					photosynthesis	biological_process
2748	PF01737	GO:0042549					photosystem II stabilization	biological_process
2749	PF01737	GO:0009523					photosystem II	cellular_component
2750	PF01737	GO:0009539					photosystem II reaction center	cellular_component
2751	PF01738	GO:0016787					hydrolase activity	molecular_function
2752	PF01741	GO:0005216					ion channel activity	molecular_function
2753	PF01741	GO:0006810				GO:0015457;GO:0015460;	transport	biological_process
2754	PF01741	GO:0016021					integral component of membrane	cellular_component
2758	PF01743	GO:0003723					RNA binding	molecular_function
2759	PF01743	GO:0016779					nucleotidyltransferase activity	molecular_function
2760	PF01743	GO:0006396				GO:0006394;	RNA processing	biological_process
2761	PF01745	GO:0004161					dimethylallyltranstransferase activity	molecular_function
2762	PF01745	GO:0009058					biosynthetic process	biological_process
2763	PF01747	GO:0004781					sulfate adenylyltransferase (ATP) activity	molecular_function
2764	PF01749	GO:0008565				GO:0015463;	protein transporter activity	molecular_function
2765	PF01749	GO:0006606					protein import into nucleus	biological_process
2766	PF01749	GO:0005634					nucleus	cellular_component
2767	PF01749	GO:0005737					cytoplasm	cellular_component
2768	PF01750	GO:0008047					enzyme activator activity	molecular_function
2769	PF01750	GO:0008233					peptidase activity	molecular_function
2770	PF01752	GO:0004252					serine-type endopeptidase activity	molecular_function
2771	PF01752	GO:0008270					zinc ion binding	molecular_function
2772	PF01752	GO:0006508					proteolysis	biological_process
2773	PF01752	GO:0005576					extracellular region	cellular_component
2774	PF01754	GO:0003677					DNA binding	molecular_function
2775	PF01754	GO:0008270					zinc ion binding	molecular_function
2776	PF01756	GO:0003997					acyl-CoA oxidase activity	molecular_function
2777	PF01756	GO:0006635					fatty acid beta-oxidation	biological_process
2778	PF01756	GO:0055114					oxidation-reduction process	biological_process
2779	PF01756	GO:0005777				GO:0019818;	peroxisome	cellular_component
2780	PF01757	GO:0016747					transferase activity, transferring acyl groups other than amino-acyl groups	molecular_function
2781	PF01758	GO:0016020					membrane	cellular_component
2782	PF01762	GO:0008378					galactosyltransferase activity	molecular_function
2783	PF01762	GO:0006486					protein glycosylation	biological_process
2784	PF01762	GO:0016020					membrane	cellular_component
2786	PF01764	GO:0006629					lipid metabolic process	biological_process
2789	PF01769	GO:0008324					cation transmembrane transporter activity	molecular_function
2790	PF01769	GO:0006812				GO:0006819;GO:0015674;	cation transport	biological_process
2791	PF01770	GO:0006810				GO:0015457;GO:0015460;	transport	biological_process
2792	PF01770	GO:0016020					membrane	cellular_component
2795	PF01774	GO:0016151					nickel cation binding	molecular_function
2796	PF01774	GO:0006807					nitrogen compound metabolic process	biological_process
2797	PF01775	GO:0003735				GO:0003736;GO:0003737;GO:0003738;GO:0003739;GO:0003740;GO:0003741;GO:0003742;	structural constituent of ribosome	molecular_function
2798	PF01775	GO:0006412				GO:0006416;GO:0006453;GO:0043037;	translation	biological_process
2799	PF01775	GO:0005840				GO:0033279;	ribosome	cellular_component
2800	PF01776	GO:0003735				GO:0003736;GO:0003737;GO:0003738;GO:0003739;GO:0003740;GO:0003741;GO:0003742;	structural constituent of ribosome	molecular_function
2801	PF01776	GO:0006412				GO:0006416;GO:0006453;GO:0043037;	translation	biological_process
2802	PF01776	GO:0005622					intracellular	cellular_component
2803	PF01776	GO:0005840				GO:0033279;	ribosome	cellular_component
2804	PF01777	GO:0003735				GO:0003736;GO:0003737;GO:0003738;GO:0003739;GO:0003740;GO:0003741;GO:0003742;	structural constituent of ribosome	molecular_function
2805	PF01777	GO:0006412				GO:0006416;GO:0006453;GO:0043037;	translation	biological_process
2806	PF01777	GO:0005622					intracellular	cellular_component
2807	PF01777	GO:0005840				GO:0033279;	ribosome	cellular_component
2808	PF01779	GO:0003735				GO:0003736;GO:0003737;GO:0003738;GO:0003739;GO:0003740;GO:0003741;GO:0003742;	structural constituent of ribosome	molecular_function
2809	PF01779	GO:0006412				GO:0006416;GO:0006453;GO:0043037;	translation	biological_process
2810	PF01779	GO:0005622					intracellular	cellular_component
2811	PF01779	GO:0005840				GO:0033279;	ribosome	cellular_component
2812	PF01780	GO:0003735				GO:0003736;GO:0003737;GO:0003738;GO:0003739;GO:0003740;GO:0003741;GO:0003742;	structural constituent of ribosome	molecular_function
2813	PF01780	GO:0006412				GO:0006416;GO:0006453;GO:0043037;	translation	biological_process
2814	PF01780	GO:0005622					intracellular	cellular_component
2815	PF01780	GO:0005840				GO:0033279;	ribosome	cellular_component
2816	PF01781	GO:0003735				GO:0003736;GO:0003737;GO:0003738;GO:0003739;GO:0003740;GO:0003741;GO:0003742;	structural constituent of ribosome	molecular_function
2817	PF01781	GO:0006412				GO:0006416;GO:0006453;GO:0043037;	translation	biological_process
2818	PF01781	GO:0005622					intracellular	cellular_component
2819	PF01781	GO:0005840				GO:0033279;	ribosome	cellular_component
2820	PF01782	GO:0006364				GO:0006365;	rRNA processing	biological_process
2821	PF01783	GO:0003735				GO:0003736;GO:0003737;GO:0003738;GO:0003739;GO:0003740;GO:0003741;GO:0003742;	structural constituent of ribosome	molecular_function
2822	PF01783	GO:0006412				GO:0006416;GO:0006453;GO:0043037;	translation	biological_process
2823	PF01783	GO:0015934					large ribosomal subunit	cellular_component
2825	PF01786	GO:0009916					alternative oxidase activity	molecular_function
2826	PF01786	GO:0055114					oxidation-reduction process	biological_process
2830	PF01788	GO:0015979					photosynthesis	biological_process
2831	PF01788	GO:0009523					photosystem II	cellular_component
2832	PF01788	GO:0009539					photosystem II reaction center	cellular_component
2833	PF01788	GO:0016020					membrane	cellular_component
2834	PF01789	GO:0005509					calcium ion binding	molecular_function
2835	PF01789	GO:0015979					photosynthesis	biological_process
2836	PF01789	GO:0009523					photosystem II	cellular_component
2837	PF01789	GO:0009654					photosystem II oxygen evolving complex	cellular_component
2838	PF01789	GO:0019898				GO:0030396;	extrinsic component of membrane	cellular_component
2839	PF01790	GO:0016757				GO:0016932;	transferase activity, transferring glycosyl groups	molecular_function
2840	PF01790	GO:0009249					protein lipoylation	biological_process
2841	PF01790	GO:0042158					lipoprotein biosynthetic process	biological_process
2842	PF01790	GO:0016020					membrane	cellular_component
2843	PF01791	GO:0016829					lyase activity	molecular_function
2844	PF01793	GO:0000030					mannosyltransferase activity	molecular_function
2845	PF01793	GO:0006486					protein glycosylation	biological_process
2846	PF01793	GO:0016020					membrane	cellular_component
2847	PF01795	GO:0008168				GO:0004480;	methyltransferase activity	molecular_function
2848	PF01797	GO:0003677					DNA binding	molecular_function
2849	PF01797	GO:0004803				GO:0004804;	transposase activity	molecular_function
2850	PF01797	GO:0006313				GO:0006317;GO:0006318;	transposition, DNA-mediated	biological_process
2851	PF01799	GO:0016491					oxidoreductase activity	molecular_function
2852	PF01799	GO:0046872					metal ion binding	molecular_function
2853	PF01799	GO:0055114					oxidation-reduction process	biological_process
2858	PF01804	GO:0016787					hydrolase activity	molecular_function
2859	PF01804	GO:0017000					antibiotic biosynthetic process	biological_process
2860	PF01805	GO:0003723					RNA binding	molecular_function
2861	PF01805	GO:0006396				GO:0006394;	RNA processing	biological_process
2866	PF01807	GO:0003677					DNA binding	molecular_function
2867	PF01807	GO:0003896				GO:0003897;GO:0003898;	DNA primase activity	molecular_function
2868	PF01807	GO:0008270					zinc ion binding	molecular_function
2869	PF01807	GO:0006260				GO:0055133;	DNA replication	biological_process
2870	PF01808	GO:0003937					IMP cyclohydrolase activity	molecular_function
2871	PF01808	GO:0004643					phosphoribosylaminoimidazolecarboxamide formyltransferase activity	molecular_function
2872	PF01808	GO:0006164					purine nucleotide biosynthetic process	biological_process
2873	PF01810	GO:0006865				GO:0006866;	amino acid transport	biological_process
2874	PF01810	GO:0016020					membrane	cellular_component
2875	PF01813	GO:0042626					ATPase activity, coupled to transmembrane movement of substances	molecular_function
2876	PF01817	GO:0046417					chorismate metabolic process	biological_process
2877	PF01818	GO:0003723					RNA binding	molecular_function
2881	PF01825	GO:0016020					membrane	cellular_component
2891	PF01832	GO:0004040					amidase activity	molecular_function
2892	PF01833	GO:0005515				GO:0045308;	protein binding	molecular_function
2893	PF01834	GO:0003684					damaged DNA binding	molecular_function
2894	PF01834	GO:0000012					single strand break repair	biological_process
2895	PF01834	GO:0005634					nucleus	cellular_component
2896	PF01835	GO:0004866					endopeptidase inhibitor activity	molecular_function
2897	PF01842	GO:0016597					amino acid binding	molecular_function
2898	PF01842	GO:0008152					metabolic process	biological_process
2899	PF01844	GO:0003676					nucleic acid binding	molecular_function
2900	PF01844	GO:0004519					endonuclease activity	molecular_function
2901	PF01845	GO:0008657					DNA topoisomerase (ATP-hydrolyzing) inhibitor activity	molecular_function
2902	PF01845	GO:0006276					plasmid maintenance	biological_process
2903	PF01848	GO:0016020					membrane	cellular_component
2904	PF01852	GO:0008289					lipid binding	molecular_function
2905	PF01853	GO:0016747					transferase activity, transferring acyl groups other than amino-acyl groups	molecular_function
2906	PF01853	GO:0006355				GO:0032583;GO:0045449;GO:0061019;	regulation of transcription, DNA-templated	biological_process
2907	PF01855	GO:0016491					oxidoreductase activity	molecular_function
2908	PF01855	GO:0055114					oxidation-reduction process	biological_process
2909	PF01857	GO:0051726				GO:0000074;	regulation of cell cycle	biological_process
2910	PF01857	GO:0005634					nucleus	cellular_component
2911	PF01858	GO:0051726				GO:0000074;	regulation of cell cycle	biological_process
2912	PF01858	GO:0005634					nucleus	cellular_component
2913	PF01862	GO:0008792					arginine decarboxylase activity	molecular_function
2914	PF01862	GO:0006527					arginine catabolic process	biological_process
2915	PF01868	GO:0003723					RNA binding	molecular_function
2916	PF01868	GO:0004540					ribonuclease activity	molecular_function
2917	PF01868	GO:0006364				GO:0006365;	rRNA processing	biological_process
2918	PF01868	GO:0006379					mRNA cleavage	biological_process
2919	PF01868	GO:0008033					tRNA processing	biological_process
2920	PF01868	GO:0000172					ribonuclease MRP complex	cellular_component
2921	PF01868	GO:0030677					ribonuclease P complex	cellular_component
2922	PF01872	GO:0008703					5-amino-6-(5-phosphoribosylamino)uracil reductase activity	molecular_function
2923	PF01872	GO:0009231					riboflavin biosynthetic process	biological_process
2924	PF01872	GO:0055114					oxidation-reduction process	biological_process
2925	PF01873	GO:0003743				GO:0003744;GO:0003745;	translation initiation factor activity	molecular_function
2926	PF01873	GO:0006413				GO:0006440;GO:0006454;	translational initiation	biological_process
2927	PF01874	GO:0005524					ATP binding	molecular_function
2928	PF01874	GO:0046917					triphosphoribosyl-dephospho-CoA synthase activity	molecular_function
2929	PF01874	GO:0016310					phosphorylation	biological_process
2930	PF01876	GO:0004540					ribonuclease activity	molecular_function
2931	PF01876	GO:0008033					tRNA processing	biological_process
2932	PF01880	GO:0005506					iron ion binding	molecular_function
2933	PF01880	GO:0016491					oxidoreductase activity	molecular_function
2934	PF01880	GO:0055114					oxidation-reduction process	biological_process
2935	PF01881	GO:0016788					hydrolase activity, acting on ester bonds	molecular_function
2936	PF01884	GO:0016765				GO:0016766;	transferase activity, transferring alkyl or aryl (other than methyl) groups	molecular_function
2937	PF01885	GO:0016772					transferase activity, transferring phosphorus-containing groups	molecular_function
2938	PF01885	GO:0006388					tRNA splicing, via endonucleolytic cleavage and ligation	biological_process
2939	PF01888	GO:0008168				GO:0004480;	methyltransferase activity	molecular_function
2940	PF01888	GO:0009236					cobalamin biosynthetic process	biological_process
2941	PF01890	GO:0009236					cobalamin biosynthetic process	biological_process
2942	PF01891	GO:0000041					transition metal ion transport	biological_process
2943	PF01891	GO:0016021					integral component of membrane	cellular_component
2944	PF01896	GO:0003896				GO:0003897;GO:0003898;	DNA primase activity	molecular_function
2945	PF01896	GO:0006269					DNA replication, synthesis of RNA primer	biological_process
2946	PF01899	GO:0008324					cation transmembrane transporter activity	molecular_function
2947	PF01899	GO:0006812				GO:0006819;GO:0015674;	cation transport	biological_process
2948	PF01899	GO:0016021					integral component of membrane	cellular_component
2949	PF01900	GO:0004540					ribonuclease activity	molecular_function
2950	PF01900	GO:0008033					tRNA processing	biological_process
2951	PF01903	GO:0016852					sirohydrochlorin cobaltochelatase activity	molecular_function
2952	PF01903	GO:0009236					cobalamin biosynthetic process	biological_process
2953	PF01907	GO:0003735				GO:0003736;GO:0003737;GO:0003738;GO:0003739;GO:0003740;GO:0003741;GO:0003742;	structural constituent of ribosome	molecular_function
2954	PF01907	GO:0006412				GO:0006416;GO:0006453;GO:0043037;	translation	biological_process
2955	PF01907	GO:0005622					intracellular	cellular_component
2956	PF01907	GO:0005840				GO:0033279;	ribosome	cellular_component
2957	PF01909	GO:0016779					nucleotidyltransferase activity	molecular_function
2958	PF01912	GO:0043022				GO:0030376;	ribosome binding	molecular_function
2959	PF01912	GO:0042256					mature ribosome assembly	biological_process
2960	PF01913	GO:0016740					transferase activity	molecular_function
2961	PF01913	GO:0006730				GO:0019753;GO:0019754;	one-carbon metabolic process	biological_process
2962	PF01914	GO:0016021					integral component of membrane	cellular_component
2963	PF01915	GO:0004553				GO:0016800;	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function
2964	PF01915	GO:0005975					carbohydrate metabolic process	biological_process
2965	PF01916	GO:0008612				GO:0046515;	peptidyl-lysine modification to peptidyl-hypusine	biological_process
2966	PF01917	GO:0005198					structural molecule activity	molecular_function
2967	PF01917	GO:0006928					movement of cell or subcellular component	biological_process
2968	PF01918	GO:0003676					nucleic acid binding	molecular_function
2969	PF01920	GO:0051082					unfolded protein binding	molecular_function
2970	PF01920	GO:0006457				GO:0007022;GO:0007024;GO:0007025;	protein folding	biological_process
2971	PF01920	GO:0016272					prefoldin complex	cellular_component
2972	PF01922	GO:0008312					7S RNA binding	molecular_function
2973	PF01922	GO:0006614					SRP-dependent cotranslational protein targeting to membrane	biological_process
2974	PF01922	GO:0048500					signal recognition particle	cellular_component
2975	PF01924	GO:0046872					metal ion binding	molecular_function
2976	PF01925	GO:0016021					integral component of membrane	cellular_component
2977	PF01926	GO:0005525					GTP binding	molecular_function
2978	PF01929	GO:0003735				GO:0003736;GO:0003737;GO:0003738;GO:0003739;GO:0003740;GO:0003741;GO:0003742;	structural constituent of ribosome	molecular_function
2979	PF01929	GO:0006412				GO:0006416;GO:0006453;GO:0043037;	translation	biological_process
2980	PF01929	GO:0005622					intracellular	cellular_component
2981	PF01929	GO:0005840				GO:0033279;	ribosome	cellular_component
2982	PF01940	GO:0016021					integral component of membrane	cellular_component
2983	PF01943	GO:0016020					membrane	cellular_component
2984	PF01956	GO:0016020					membrane	cellular_component
2985	PF01958	GO:0016491					oxidoreductase activity	molecular_function
2986	PF01958	GO:0006742					NADP catabolic process	biological_process
2987	PF01958	GO:0019363					pyridine nucleotide biosynthetic process	biological_process
2988	PF01958	GO:0055114					oxidation-reduction process	biological_process
2989	PF01959	GO:0003856					3-dehydroquinate synthase activity	molecular_function
2990	PF01959	GO:0016491					oxidoreductase activity	molecular_function
2991	PF01959	GO:0009073				GO:0016089;	aromatic amino acid family biosynthetic process	biological_process
2992	PF01959	GO:0055114					oxidation-reduction process	biological_process
2993	PF01960	GO:0004358					glutamate N-acetyltransferase activity	molecular_function
2994	PF01960	GO:0006526					arginine biosynthetic process	biological_process
2995	PF01964	GO:0051536					iron-sulfur cluster binding	molecular_function
2996	PF01964	GO:0009228					thiamine biosynthetic process	biological_process
2997	PF01967	GO:0006777					Mo-molybdopterin cofactor biosynthetic process	biological_process
2998	PF01968	GO:0016787					hydrolase activity	molecular_function
2999	PF01972	GO:0016021					integral component of membrane	cellular_component
3000	PF01974	GO:0000213					tRNA-intron endonuclease activity	molecular_function
3001	PF01974	GO:0006388					tRNA splicing, via endonucleolytic cleavage and ligation	biological_process
3002	PF01975	GO:0016787					hydrolase activity	molecular_function
3003	PF01977	GO:0016831					carboxy-lyase activity	molecular_function
3004	PF01979	GO:0016787					hydrolase activity	molecular_function
3005	PF01981	GO:0004045				GO:0019850;GO:0019851;	aminoacyl-tRNA hydrolase activity	molecular_function
3006	PF01982	GO:0016773					phosphotransferase activity, alcohol group as acceptor	molecular_function
3007	PF01983	GO:0016779					nucleotidyltransferase activity	molecular_function
3008	PF01984	GO:0003677					DNA binding	molecular_function
3009	PF01985	GO:0003723					RNA binding	molecular_function
3010	PF01990	GO:0034220					ion transmembrane transport	biological_process
3011	PF01991	GO:0046961					proton-transporting ATPase activity, rotational mechanism	molecular_function
3012	PF01991	GO:0015991					ATP hydrolysis coupled proton transport	biological_process
3013	PF01991	GO:0033178					proton-transporting two-sector ATPase complex, catalytic domain	cellular_component
3014	PF01993	GO:0008901				GO:0016948;GO:0016949;GO:0016950;GO:0016951;	ferredoxin hydrogenase activity	molecular_function
3015	PF01993	GO:0015948					methanogenesis	biological_process
3016	PF01993	GO:0055114					oxidation-reduction process	biological_process
3017	PF01994	GO:0008175					tRNA methyltransferase activity	molecular_function
3018	PF01994	GO:0002128					tRNA nucleoside ribose methylation	biological_process
3019	PF01994	GO:0005737					cytoplasm	cellular_component
3020	PF01997	GO:0043565					sequence-specific DNA binding	molecular_function
3021	PF02005	GO:0003723					RNA binding	molecular_function
3022	PF02005	GO:0004809					tRNA (guanine-N2-)-methyltransferase activity	molecular_function
3023	PF02005	GO:0008033					tRNA processing	biological_process
3024	PF02007	GO:0008168				GO:0004480;	methyltransferase activity	molecular_function
3025	PF02007	GO:0006730				GO:0019753;GO:0019754;	one-carbon metabolic process	biological_process
3026	PF02008	GO:0003677					DNA binding	molecular_function
3027	PF02008	GO:0008270					zinc ion binding	molecular_function
3028	PF02011	GO:0004553				GO:0016800;	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function
3029	PF02011	GO:0008810					cellulase activity	molecular_function
3030	PF02011	GO:0030245				GO:0016179;	cellulose catabolic process	biological_process
3031	PF02015	GO:0008810					cellulase activity	molecular_function
3032	PF02015	GO:0005975					carbohydrate metabolic process	biological_process
3035	PF02018	GO:0016798					hydrolase activity, acting on glycosyl bonds	molecular_function
3036	PF02020	GO:0005515				GO:0045308;	protein binding	molecular_function
3047	PF02028	GO:0005215				GO:0005478;	transporter activity	molecular_function
3048	PF02028	GO:0006810				GO:0015457;GO:0015460;	transport	biological_process
3049	PF02028	GO:0016020					membrane	cellular_component
3054	PF02033	GO:0006364				GO:0006365;	rRNA processing	biological_process
3060	PF02040	GO:0015105					arsenite transmembrane transporter activity	molecular_function
3061	PF02040	GO:0015700					arsenite transport	biological_process
3062	PF02040	GO:0016021					integral component of membrane	cellular_component
3063	PF02041	GO:0004872				GO:0019041;	receptor activity	molecular_function
3066	PF02045	GO:0003700				GO:0000130;	transcription factor activity, sequence-specific DNA binding	molecular_function
3067	PF02045	GO:0006355				GO:0032583;GO:0045449;GO:0061019;	regulation of transcription, DNA-templated	biological_process
3068	PF02046	GO:0004129					cytochrome-c oxidase activity	molecular_function
3069	PF02046	GO:0005743					mitochondrial inner membrane	cellular_component
3070	PF02046	GO:0005751				GO:0005752;	mitochondrial respiratory chain complex IV	cellular_component
3073	PF02049	GO:0003774					motor activity	molecular_function
3074	PF02049	GO:0005198					structural molecule activity	molecular_function
3075	PF02049	GO:0071973					bacterial-type flagellum-dependent cell motility	biological_process
3076	PF02049	GO:0009288					bacterial-type flagellum	cellular_component
3077	PF02050	GO:0071973					bacterial-type flagellum-dependent cell motility	biological_process
3078	PF02050	GO:0009288					bacterial-type flagellum	cellular_component
3082	PF02055	GO:0004348					glucosylceramidase activity	molecular_function
3083	PF02055	GO:0006665					sphingolipid metabolic process	biological_process
3084	PF02056	GO:0004553				GO:0016800;	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function
3085	PF02056	GO:0005975					carbohydrate metabolic process	biological_process
3086	PF02057	GO:0004336					galactosylceramidase activity	molecular_function
3087	PF02057	GO:0006683					galactosylceramide catabolic process	biological_process
3098	PF02064	GO:0006605					protein targeting	biological_process
3099	PF02064	GO:0006886				GO:0032779;	intracellular protein transport	biological_process
3100	PF02064	GO:0005742					mitochondrial outer membrane translocase complex	cellular_component
3101	PF02065	GO:0004557					alpha-galactosidase activity	molecular_function
3102	PF02065	GO:0005975					carbohydrate metabolic process	biological_process
3106	PF02069	GO:0046872					metal ion binding	molecular_function
3110	PF02073	GO:0004177					aminopeptidase activity	molecular_function
3111	PF02073	GO:0006508					proteolysis	biological_process
3112	PF02074	GO:0004181					metallocarboxypeptidase activity	molecular_function
3113	PF02074	GO:0006508					proteolysis	biological_process
3114	PF02075	GO:0004520					endodeoxyribonuclease activity	molecular_function
3115	PF02075	GO:0006281					DNA repair	biological_process
3116	PF02075	GO:0006310					DNA recombination	biological_process
3120	PF02077	GO:0016021					integral component of membrane	cellular_component
3125	PF02080	GO:0008324					cation transmembrane transporter activity	molecular_function
3126	PF02080	GO:0006813				GO:0015458;	potassium ion transport	biological_process
3132	PF02085	GO:0009055				GO:0009053;GO:0009054;	electron carrier activity	molecular_function
3133	PF02085	GO:0020037					heme binding	molecular_function
3134	PF02086	GO:0009007					site-specific DNA-methyltransferase (adenine-specific) activity	molecular_function
3135	PF02086	GO:0032775					DNA methylation on adenine	biological_process
3141	PF02089	GO:0098599					palmitoyl hydrolase activity	molecular_function
3142	PF02091	GO:0000166					nucleotide binding	molecular_function
3143	PF02091	GO:0004820					glycine-tRNA ligase activity	molecular_function
3144	PF02091	GO:0005524					ATP binding	molecular_function
3145	PF02091	GO:0006426					glycyl-tRNA aminoacylation	biological_process
3146	PF02091	GO:0005737					cytoplasm	cellular_component
3147	PF02092	GO:0000166					nucleotide binding	molecular_function
3148	PF02092	GO:0004820					glycine-tRNA ligase activity	molecular_function
3149	PF02092	GO:0005524					ATP binding	molecular_function
3150	PF02092	GO:0006426					glycyl-tRNA aminoacylation	biological_process
3151	PF02092	GO:0005737					cytoplasm	cellular_component
3154	PF02096	GO:0051205					protein insertion into membrane	biological_process
3155	PF02096	GO:0016021					integral component of membrane	cellular_component
3158	PF02099	GO:0008242					omega peptidase activity	molecular_function
3159	PF02100	GO:0004857					enzyme inhibitor activity	molecular_function
3160	PF02100	GO:0008073					ornithine decarboxylase inhibitor activity	molecular_function
3164	PF02104	GO:0016020					membrane	cellular_component
3166	PF02107	GO:0003774					motor activity	molecular_function
3167	PF02107	GO:0071973					bacterial-type flagellum-dependent cell motility	biological_process
3168	PF02107	GO:0009427					bacterial-type flagellum basal body, distal rod, L ring	cellular_component
3169	PF02109	GO:0004579					dolichyl-diphosphooligosaccharide-protein glycotransferase activity	molecular_function
3170	PF02109	GO:0008250					oligosaccharyltransferase complex	cellular_component
3171	PF02109	GO:0016021					integral component of membrane	cellular_component
3172	PF02110	GO:0004417					hydroxyethylthiazole kinase activity	molecular_function
3173	PF02110	GO:0009228					thiamine biosynthetic process	biological_process
3174	PF02112	GO:0004115					3',5'-cyclic-AMP phosphodiesterase activity	molecular_function
3175	PF02112	GO:0006198					cAMP catabolic process	biological_process
3176	PF02113	GO:0004185					serine-type carboxypeptidase activity	molecular_function
3177	PF02113	GO:0006508					proteolysis	biological_process
3178	PF02115	GO:0005094					Rho GDP-dissociation inhibitor activity	molecular_function
3179	PF02115	GO:0005737					cytoplasm	cellular_component
3189	PF02119	GO:0005198					structural molecule activity	molecular_function
3190	PF02119	GO:0071973					bacterial-type flagellum-dependent cell motility	biological_process
3191	PF02119	GO:0009428					bacterial-type flagellum basal body, distal rod, P ring	cellular_component
3192	PF02119	GO:0030288					outer membrane-bounded periplasmic space	cellular_component
3193	PF02121	GO:0006810				GO:0015457;GO:0015460;	transport	biological_process
3194	PF02121	GO:0005622					intracellular	cellular_component
3195	PF02122	GO:0004252					serine-type endopeptidase activity	molecular_function
3196	PF02122	GO:0016032				GO:0022415;	viral process	biological_process
3197	PF02122	GO:0016021					integral component of membrane	cellular_component
3198	PF02123	GO:0003723					RNA binding	molecular_function
3199	PF02123	GO:0003968					RNA-directed RNA polymerase activity	molecular_function
3200	PF02123	GO:0006351				GO:0006350;GO:0061018;GO:0061022;	transcription, DNA-templated	biological_process
3201	PF02126	GO:0008270					zinc ion binding	molecular_function
3202	PF02126	GO:0009056					catabolic process	biological_process
3203	PF02127	GO:0004177					aminopeptidase activity	molecular_function
3204	PF02127	GO:0008270					zinc ion binding	molecular_function
3205	PF02127	GO:0006508					proteolysis	biological_process
3206	PF02128	GO:0004222					metalloendopeptidase activity	molecular_function
3207	PF02128	GO:0008270					zinc ion binding	molecular_function
3208	PF02128	GO:0005615					extracellular space	cellular_component
3209	PF02129	GO:0016787					hydrolase activity	molecular_function
3210	PF02130	GO:0004222					metalloendopeptidase activity	molecular_function
3211	PF02130	GO:0006364				GO:0006365;	rRNA processing	biological_process
3212	PF02133	GO:0005215				GO:0005478;	transporter activity	molecular_function
3213	PF02133	GO:0055085					transmembrane transport	biological_process
3214	PF02133	GO:0016020					membrane	cellular_component
